,Unnamed: 0,X,Y,CCN,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,OBJECTID,PSA_ID,DistrictID,OFFENSE_Code,METHOD_Code,CRIME_TYPE,AGE,TIME_TO_REPORT,Year,Month,Day,hour,dayofyear,week,weekofyear,dayofweek,weekday,quarter
Unnamed: 0,1.0,-0.007817574529341512,0.016196254597936062,0.9888914311115333,-0.007824068339987863,0.016195150364087384,-0.01493308639716108,-0.013869162083130512,-0.025426571103393702,-0.025870039279777872,-0.020665280172174276,-0.002057149447855305,-0.011087190556335868,0.0161962550268599,-0.00781757308435246,-0.33420525145207247,-0.025776508522309845,-0.025633789014513225,-0.07124530768858482,-0.03278775265570836,0.058409171364815236,-0.0004432091569538725,0.016313540405773864,0.9867423797655963,-0.03993862455826986,0.004601089332175331,0.02317437908677935,-0.04024535862944802,0.0056359946801439655,-0.03728490851351208,-0.01210636692238645,-0.01210636692238645,-0.0427471898823718
X,-0.007817574529341512,1.0,-0.4473180183639191,-0.00588174020250045,0.9999999455158115,-0.44732082275320617,0.7333470429751101,0.7280512600031609,0.6065835019757471,0.6072923858944154,0.7474468083493466,0.6448619750278233,0.5877393745154583,-0.44731805263554597,1.000000000000016,0.0026814713434032736,0.6072267407903287,0.6066844340386378,0.22086470902629265,0.14357516098858764,-0.1674840667775156,-0.0027600764793580456,-0.02529429918767938,-0.002124935399348711,0.005544416340590949,0.008136850672048923,-0.023743799272206417,0.006183297412912306,0.007707706029858804,0.004893828331041536,-0.01246201161212485,-0.01246201161212485,0.006864295587538262
Y,0.016196254597936062,-0.4473180183639191,1.0,0.016367467274584938,-0.447246915067038,0.9999999711472313,-0.6105532135425066,-0.612355666237386,-0.3505906937782624,-0.35396348901259045,-0.5542082161993748,-0.5322149926484707,-0.550560517093257,0.9999999999999951,-0.4473179761457299,-0.016731697060040327,-0.353839377932578,-0.350638005171503,-0.112885595570305,-0.10749986265296906,0.12127398088499898,-0.0035926947604021943,0.009688146002709116,0.015073713667262002,-0.007391691366254679,-0.0056240755544456475,-0.0046843845574282015,-0.007908884418810817,-0.005232797839781207,-0.007025685591283902,0.010467819057210342,0.010467819057210342,-0.008312497066719882
CCN,0.9888914311115333,-0.00588174020250045,0.016367467274584938,1.0,-0.005887424529301688,0.016366819535951635,-0.012472098973565444,-0.011516700957056265,-0.022484617583726222,-0.022910491192689276,-0.01779658071974299,-0.001869025394670012,-0.009922226436191464,0.016367467663452456,-0.005881738720841691,-0.3403781757764345,-0.022804108584871044,-0.022658213641901348,-0.07193538706799799,-0.03281378680669474,0.05907662017742349,-0.0005557541653296088,0.014694175161649387,0.9976783535405482,-0.08686922398879875,-0.00030842783041814897,0.023075052407399304,-0.08745823027839396,0.0008501045106966885,-0.08358068326183722,-0.012267890995501829,-0.012267890995501829,-0.0894739298065324
XBLOCK,-0.007824068339987863,0.9999999455158115,-0.447246915067038,-0.005887424529301688,1.0,-0.44724967752766054,0.7333860836145715,0.72809077797316,0.6066537287822207,0.6073616315286299,0.7475131274313375,0.6447421879297576,0.5877368113777892,-0.4472469493398911,0.99999994551908,0.002679601770089227,0.6072960431212128,0.6067547438486309,0.22088896725403068,0.14358631518407464,-0.16749459691166496,-0.0027608644094792127,-0.02529644451360519,-0.0021300925644750037,0.0055426982493639865,0.008138062499486528,-0.023743208584844785,0.006181664228424452,0.007708839964930408,0.004892316216156717,-0.01247134145010562,-0.01247134145010562,0.00686248024693035
YBLOCK,0.016195150364087384,-0.44732082275320617,0.9999999711472313,0.016366819535951635,-0.44724967752766054,1.0,-0.6105513237789729,-0.6123492912061405,-0.3505752081102684,-0.3539481192263561,-0.5541953724532727,-0.5322631618639273,-0.5505946987232351,0.9999999711474141,-0.4473207805352221,-0.016732111282607542,-0.3538239674607773,-0.35062248319752,-0.11288319151711143,-0.10749916863641303,0.12127565493518234,-0.0035923727457627336,0.009689549638460755,0.015073109223805335,-0.007392884436190515,-0.005623739508048435,-0.00468204494799913,-0.0079100608149909,-0.005232611471144614,-0.007026838065140115,0.0104634032770903,0.0104634032770903,-0.00831378594787225
WARD,-0.01493308639716108,0.7333470429751101,-0.6105532135425066,-0.012472098973565444,0.7333860836145715,-0.6105513237789729,1.0,0.9956460959688995,0.5810624672177355,0.5817377220901115,0.9026867452932669,0.5616391955061185,0.5894181186614831,-0.610553233156173,0.7333470265396094,0.006136214961281868,0.5814798383421798,0.5810096099814019,0.2178612647113845,0.14733466145913648,-0.16499159947028852,0.0008199187468186996,-0.020377283257846927,-0.009105206695540867,0.005612450292251014,0.008625741608603075,-0.012657518897598303,0.0063046524062531405,0.007870688827904242,0.005077196008704433,-0.029379866338541148,-0.029379866338541148,0.007027875772691177
ANC,-0.013869162083130512,0.7280512600031609,-0.612355666237386,-0.011516700957056265,0.72809077797316,-0.6123492912061405,0.9956460959688995,1.0,0.5805577450902173,0.581213209740976,0.8979485032647141,0.5559218307177347,0.5825041569415954,-0.6123556855154628,0.7280512433310882,0.006327303885096157,0.5809370877633814,0.5804862447812501,0.21688283108128403,0.14693123699639749,-0.16466853763387684,0.0008368742448733223,-0.019946193390220513,-0.008162670449524876,0.005119686700683933,0.008715646180794208,-0.011301439577988804,0.00582205487916772,0.00799837725653373,0.004607366097726643,-0.029576960088290322,-0.029576960088290322,0.006477487031954761
DISTRICT,-0.025426571103393702,0.6065835019757471,-0.3505906937782624,-0.022484617583726222,0.6066537287822207,-0.3505752081102684,0.5810624672177355,0.5805577450902173,1.0,0.9996206965268217,0.6547267157702661,0.34575161040635494,0.3800930568367091,-0.3505907131391825,0.6065834969199215,0.010103198472423488,0.9996201566547696,0.9996932671725376,0.251773514222342,0.1704070335032368,-0.1960394214218134,-0.0015535836803393715,-0.027387814507028423,-0.017774418370817342,0.002891726198056422,0.003654011661286668,-0.03353130084015267,0.0031535325937799767,0.0032233088490093683,0.0017337703133699371,-0.01194702364460451,-0.01194702364460451,0.0037468970123400954
PSA,-0.025870039279777872,0.6072923858944154,-0.35396348901259045,-0.022910491192689276,0.6073616315286299,-0.3539481192263561,0.5817377220901115,0.581213209740976,0.9996206965268217,1.0,0.655368721394899,0.3477551039344876,0.37916075962743917,-0.3539635083452519,0.607292380689383,0.010955405300987556,1.0,0.9999274155677554,0.251908763420501,0.17068991435008696,-0.19632794106663387,-0.0015085280635514671,-0.027379979316167112,-0.018201578845499448,0.0028637084056569273,0.0036686231896372995,-0.033531254357040456,0.0031282552207173393,0.0032515151736315505,0.0017103313606401794,-0.012081114815420999,-0.012081114815420999,0.0037115688264963633
NEIGHBORHOOD_CLUSTER,-0.020665280172174276,0.7474468083493466,-0.5542082161993748,-0.01779658071974299,0.7475131274313375,-0.5541953724532727,0.9026867452932669,0.8979485032647141,0.6547267157702661,0.655368721394899,1.0,0.5305462512497302,0.6079619055822669,-0.5542082372394549,0.7474467953058153,0.008690447144773655,0.6554188568548739,0.6549495244735127,0.22259572164394195,0.1502289545235542,-0.16768766870013255,0.000722620476433802,-0.023093649815662996,-0.014088121175671299,0.004026821966328264,0.008646855834549836,-0.016729842177076834,0.004712290842881964,0.007874373442924389,0.0036345794303785078,-0.029708478092764015,-0.029708478092764015,0.005355591348189578
CENSUS_TRACT,-0.002057149447855305,0.6448619750278233,-0.5322149926484707,-0.001869025394670012,0.6447421879297576,-0.5322631618639273,0.5616391955061185,0.5559218307177347,0.34575161040635494,0.3477551039344876,0.5305462512497302,1.0,0.4939387537215158,-0.5322150100111845,0.6448619622521616,0.00950220530244958,0.3477791043888936,0.3458686782548667,0.11291978551610758,0.08373856473388513,-0.09542061023045649,0.0007306685432825717,-0.011195939719997203,-0.00017511198724020388,0.004990802625909449,0.004743892397105929,-0.03499489376669546,0.005407081318620766,0.005461029361155919,0.0052657386630833285,0.0016657998658489558,0.0016657998658489558,0.005866433108743579
VOTING_PRECINCT,-0.011087190556335868,0.5877393745154583,-0.550560517093257,-0.009922226436191464,0.5877368113777892,-0.5505946987232351,0.5894181186614831,0.5825041569415954,0.3800930568367091,0.37916075962743917,0.6079619055822669,0.4939387537215158,1.0,-0.5505605314062055,0.587739359017561,0.005879835275268201,0.37915206476093,0.3801820641129069,0.14006455017346067,0.10205020614039864,-0.11779174015168728,-0.0015749633350334983,-0.015442498498350192,-0.007352443954248501,0.0031551128266148858,0.008357232392445811,-0.0061425745443109605,0.003857975866506145,0.007725046131098453,0.0029182122497131476,-0.007616384918210158,-0.007616384918210158,0.00396751577174885
LATITUDE,0.0161962550268599,-0.44731805263554597,0.9999999999999951,0.016367467663452456,-0.4472469493398911,0.9999999711474141,-0.610553233156173,-0.6123556855154628,-0.3505907131391825,-0.3539635083452519,-0.5542082372394549,-0.5322150100111845,-0.5505605314062055,1.0,-0.44731801041735486,-0.016731699108294334,-0.3538393972633558,-0.3506380245408003,-0.11288560297377268,-0.10749986692750628,0.12127398600897156,-0.003592694409473195,0.009688147065073413,0.015073713914381847,-0.007391691687773651,-0.0056240754970898225,-0.004684383726433303,-0.007908884734776475,-0.005232797768842459,-0.0070256858741490685,0.01046781933353495,0.01046781933353495,-0.00831249744717203
LONGITUDE,-0.00781757308435246,1.000000000000016,-0.4473179761457299,-0.005881738720841691,0.99999994551908,-0.4473207805352221,0.7333470265396094,0.7280512433310882,0.6065834969199215,0.607292380689383,0.7474467953058153,0.6448619622521616,0.587739359017561,-0.44731801041735486,1.0,0.002681471605273411,0.6072267355875555,0.6066844289876139,0.22086470733763533,0.14357515822781847,-0.16748406353581682,-0.0027600767290637622,-0.02529429912584903,-0.002124933903807209,0.005544416113624725,0.008136850579551448,-0.023743799599708248,0.006183297174436444,0.007707705918585742,0.004893828068605044,-0.01246201127624145,-0.01246201127624145,0.006864295273327223
OBJECTID,-0.33420525145207247,0.0026814713434032736,-0.016731697060040327,-0.3403781757764345,0.002679601770089227,-0.016732111282607542,0.006136214961281868,0.006327303885096157,0.010103198472423488,0.010955405300987556,0.008690447144773655,0.00950220530244958,0.005879835275268201,-0.016731699108294334,0.002681471605273411,1.0,0.01102698646253788,0.010556333021776654,0.01957276103422353,0.008410496168135512,-0.017505591970994737,-0.0017790254622324195,-0.013607953697116272,-0.33871316618442804,0.018201053151846898,-0.0040886899457753,-0.0029360340830131663,0.019649445956195444,-0.004738378293725029,0.01607749197586613,0.003048258509901191,0.003048258509901191,0.02041125736910228
PSA_ID,-0.025776508522309845,0.6072267407903287,-0.353839377932578,-0.022804108584871044,0.6072960431212128,-0.3538239674607773,0.5814798383421798,0.5809370877633814,0.9996201566547696,1.0,0.6554188568548739,0.3477791043888936,0.37915206476093,-0.3538393972633558,0.6072267355875555,0.01102698646253788,1.0,0.9999274164247798,0.25196424355875763,0.17067087361830535,-0.1964200489319847,-0.0015046573382470777,-0.027341558549987974,-0.018094329832842197,0.002761674351992027,0.0037129285866720372,-0.033541933895725094,0.0030306869184240936,0.0032804060042843117,0.001615755671752528,-0.012208307349813225,-0.012208307349813225,0.0036240195110179975
DistrictID,-0.025633789014513225,0.6066844340386378,-0.350638005171503,-0.022658213641901348,0.6067547438486309,-0.35062248319752,0.5810096099814019,0.5804862447812501,0.9996932671725376,0.9999274155677554,0.6549495244735127,0.3458686782548667,0.3801820641129069,-0.3506380245408003,0.6066844289876139,0.010556333021776654,0.9999274164247798,1.0,0.25190594089779994,0.17053029851596588,-0.19628415900884313,-0.0015526015514309257,-0.027343218918454676,-0.017941331187111068,0.002671849054380131,0.0036643984596647135,-0.033506900277412884,0.0029363063916048207,0.0032351481476767764,0.0015186361220908633,-0.012129567503860914,-0.012129567503860914,0.0035311458508328866
OFFENSE_Code,-0.07124530768858482,0.22086470902629265,-0.112885595570305,-0.07193538706799799,0.22088896725403068,-0.11288319151711143,0.2178612647113845,0.21688283108128403,0.251773514222342,0.251908763420501,0.22259572164394195,0.11291978551610758,0.14006455017346067,-0.11288560297377268,0.22086470733763533,0.01957276103422353,0.25196424355875763,0.25190594089779994,1.0,0.3415135255376056,-0.6082621099803841,-0.0029560390815186253,0.005729267626164224,-0.06679339945657423,0.0026336159031380363,0.0007376183546278218,-0.09635198179521075,0.002772390686381128,0.00033366174925169835,0.0023160979506667923,0.024234787616779604,0.024234787616779604,0.0045123340739402626
METHOD_Code,-0.03278775265570836,0.14357516098858764,-0.10749986265296906,-0.03281378680669474,0.14358631518407464,-0.10749916863641303,0.14733466145913648,0.14693123699639749,0.1704070335032368,0.17068991435008696,0.1502289545235542,0.08373856473388513,0.10205020614039864,-0.10749986692750628,0.14357515822781847,0.008410496168135512,0.17067087361830535,0.17053029851596588,0.3415135255376056,1.0,-0.6377250671292924,-0.0036987004747766564,-0.015616062034948952,-0.03016766482761648,-0.002281036448220867,0.0010226355283606452,-0.026000337275950833,-0.002139609327581445,0.0008912338165941924,-0.0027282315952910623,0.02068645999332597,0.02068645999332597,-0.0020479682274333016
CRIME_TYPE,0.058409171364815236,-0.1674840667775156,0.12127398088499898,0.05907662017742349,-0.16749459691166496,0.12127565493518234,-0.16499159947028852,-0.16466853763387684,-0.1960394214218134,-0.19632794106663387,-0.16768766870013255,-0.09542061023045649,-0.11779174015168728,0.12127398600897156,-0.16748406353581682,-0.017505591970994737,-0.1964200489319847,-0.19628415900884313,-0.6082621099803841,-0.6377250671292924,1.0,0.004987810969825901,-0.0036978897248433154,0.0555174194970964,0.004345876737906864,0.0026886133038728135,0.035861904194627064,0.004491761389634981,0.0032884489052601184,0.004474609545349543,-0.031083208190400613,-0.031083208190400613,0.002507291322961323
AGE,-0.0004432091569538725,-0.0027600764793580456,-0.0035926947604021943,-0.0005557541653296088,-0.0027608644094792127,-0.0035923727457627336,0.0008199187468186996,0.0008368742448733223,-0.0015535836803393715,-0.0015085280635514671,0.000722620476433802,0.0007306685432825717,-0.0015749633350334983,-0.003592694409473195,-0.0027600767290637622,-0.0017790254622324195,-0.0015046573382470777,-0.0015526015514309257,-0.0029560390815186253,-0.0036987004747766564,0.004987810969825901,1.0,0.006659392334073808,-0.0006205070262657432,-0.0019572804553431695,0.001745733457185529,-0.00199742686072406,-0.0017903254290743253,0.00137973811378156,-0.0017411648756262305,-0.0010676547950265525,-0.0010676547950265525,-0.0018544099153480608
TIME_TO_REPORT,0.016313540405773864,-0.02529429918767938,0.009688146002709116,0.014694175161649387,-0.02529644451360519,0.009689549638460755,-0.020377283257846927,-0.019946193390220513,-0.027387814507028423,-0.027379979316167112,-0.023093649815662996,-0.011195939719997203,-0.015442498498350192,0.009688147065073413,-0.02529429912584903,-0.013607953697116272,-0.027341558549987974,-0.027343218918454676,0.005729267626164224,-0.015616062034948952,-0.0036978897248433154,0.006659392334073808,1.0,-0.006373390607610319,-0.0012391154632089996,-0.005141063094150011,0.004313704131801128,-0.0016429265967111784,-0.004721249834784203,-0.0033471386804785866,0.0014372659877122686,0.0014372659877122686,-0.001801191253567895
Year,0.9867423797655963,-0.002124935399348711,0.015073713667262002,0.9976783535405482,-0.0021300925644750037,0.015073109223805335,-0.009105206695540867,-0.008162670449524876,-0.017774418370817342,-0.018201578845499448,-0.014088121175671299,-0.00017511198724020388,-0.007352443954248501,0.015073713914381847,-0.002124933903807209,-0.33871316618442804,-0.018094329832842197,-0.017941331187111068,-0.06679339945657423,-0.03016766482761648,0.0555174194970964,-0.0006205070262657432,-0.006373390607610319,1.0,-0.11986228151134896,-0.0036927900802276228,0.02257610788514574,-0.12061788749783088,-0.0025259944264951787,-0.11539973082951584,-0.012106307032187095,-0.012106307032187095,-0.12132921400779392
Month,-0.03993862455826986,0.005544416340590949,-0.007391691366254679,-0.08686922398879875,0.0055426982493639865,-0.007392884436190515,0.005612450292251014,0.005119686700683933,0.002891726198056422,0.0028637084056569273,0.004026821966328264,0.004990802625909449,0.0031551128266148858,-0.007391691687773651,0.005544416113624725,0.018201053151846898,0.002761674351992027,0.002671849054380131,0.0026336159031380363,-0.002281036448220867,0.004345876737906864,-0.0019572804553431695,-0.0012391154632089996,-0.11986228151134896,1.0,-2.4123889687598678e-05,-0.006714442163928771,0.9964022145348274,0.0012716122040221133,0.9705425207911085,-6.192723362113862e-05,-6.192723362113862e-05,0.9700307315764789
Day,0.004601089332175331,0.008136850672048923,-0.0056240755544456475,-0.00030842783041814897,0.008138062499486528,-0.005623739508048435,0.008625741608603075,0.008715646180794208,0.003654011661286668,0.0036686231896372995,0.008646855834549836,0.004743892397105929,0.008357232392445811,-0.0056240754970898225,0.008136850579551448,-0.0040886899457753,0.0037129285866720372,0.0036643984596647135,0.0007376183546278218,0.0010226355283606452,0.0026886133038728135,0.001745733457185529,-0.005141063094150011,-0.0036927900802276228,-2.4123889687598678e-05,1.0,0.0044429704662261645,0.08442265880421636,0.9735743674797886,0.05847787469926228,-0.0021370859556979886,-0.0021370859556979886,0.003681152508303256
hour,0.02317437908677935,-0.023743799272206417,-0.0046843845574282015,0.023075052407399304,-0.023743208584844785,-0.00468204494799913,-0.012657518897598303,-0.011301439577988804,-0.03353130084015267,-0.033531254357040456,-0.016729842177076834,-0.03499489376669546,-0.0061425745443109605,-0.004684383726433303,-0.023743799599708248,-0.0029360340830131663,-0.033541933895725094,-0.033506900277412884,-0.09635198179521075,-0.026000337275950833,0.035861904194627064,-0.00199742686072406,0.004313704131801128,0.02257610788514574,-0.006714442163928771,0.0044429704662261645,1.0,-0.006195401156713909,0.003727900772974942,-0.0056974935686086945,-0.08447062827822209,-0.08447062827822209,-0.005738399758226422
dayofyear,-0.04024535862944802,0.006183297412912306,-0.007908884418810817,-0.08745823027839396,0.006181664228424452,-0.0079100608149909,0.0063046524062531405,0.00582205487916772,0.0031535325937799767,0.0031282552207173393,0.004712290842881964,0.005407081318620766,0.003857975866506145,-0.007908884734776475,0.006183297174436444,0.019649445956195444,0.0030306869184240936,0.0029363063916048207,0.002772390686381128,-0.002139609327581445,0.004491761389634981,-0.0017903254290743253,-0.0016429265967111784,-0.12061788749783088,0.9964022145348274,0.08442265880421636,-0.006195401156713909,1.0,0.08345723494466988,0.9720380573718391,-0.0002729691888431644,-0.0002729691888431644,0.9669096836184443
week,0.0056359946801439655,0.007707706029858804,-0.005232797839781207,0.0008501045106966885,0.007708839964930408,-0.005232611471144614,0.007870688827904242,0.00799837725653373,0.0032233088490093683,0.0032515151736315505,0.007874373442924389,0.005461029361155919,0.007725046131098453,-0.005232797768842459,0.007707705918585742,-0.004738378293725029,0.0032804060042843117,0.0032351481476767764,0.00033366174925169835,0.0008912338165941924,0.0032884489052601184,0.00137973811378156,-0.004721249834784203,-0.0025259944264951787,0.0012716122040221133,0.9735743674797886,0.003727900772974942,0.08345723494466988,1.0,0.05789367654199621,-0.0012656517536963716,-0.0012656517536963716,0.004756857131802731
weekofyear,-0.03728490851351208,0.004893828331041536,-0.007025685591283902,-0.08358068326183722,0.004892316216156717,-0.007026838065140115,0.005077196008704433,0.004607366097726643,0.0017337703133699371,0.0017103313606401794,0.0036345794303785078,0.0052657386630833285,0.0029182122497131476,-0.0070256858741490685,0.004893828068605044,0.01607749197586613,0.001615755671752528,0.0015186361220908633,0.0023160979506667923,-0.0027282315952910623,0.004474609545349543,-0.0017411648756262305,-0.0033471386804785866,-0.11539973082951584,0.9705425207911085,0.05847787469926228,-0.0056974935686086945,0.9720380573718391,0.05789367654199621,1.0,-0.0009836366891104954,-0.0009836366891104954,0.9452039159665447
dayofweek,-0.01210636692238645,-0.01246201161212485,0.010467819057210342,-0.012267890995501829,-0.01247134145010562,0.0104634032770903,-0.029379866338541148,-0.029576960088290322,-0.01194702364460451,-0.012081114815420999,-0.029708478092764015,0.0016657998658489558,-0.007616384918210158,0.01046781933353495,-0.01246201127624145,0.003048258509901191,-0.012208307349813225,-0.012129567503860914,0.024234787616779604,0.02068645999332597,-0.031083208190400613,-0.0010676547950265525,0.0014372659877122686,-0.012106307032187095,-6.192723362113862e-05,-0.0021370859556979886,-0.08447062827822209,-0.0002729691888431644,-0.0012656517536963716,-0.0009836366891104954,1.0,1.0,-0.0009252580926435043
weekday,-0.01210636692238645,-0.01246201161212485,0.010467819057210342,-0.012267890995501829,-0.01247134145010562,0.0104634032770903,-0.029379866338541148,-0.029576960088290322,-0.01194702364460451,-0.012081114815420999,-0.029708478092764015,0.0016657998658489558,-0.007616384918210158,0.01046781933353495,-0.01246201127624145,0.003048258509901191,-0.012208307349813225,-0.012129567503860914,0.024234787616779604,0.02068645999332597,-0.031083208190400613,-0.0010676547950265525,0.0014372659877122686,-0.012106307032187095,-6.192723362113862e-05,-0.0021370859556979886,-0.08447062827822209,-0.0002729691888431644,-0.0012656517536963716,-0.0009836366891104954,1.0,1.0,-0.0009252580926435043
quarter,-0.0427471898823718,0.006864295587538262,-0.008312497066719882,-0.0894739298065324,0.00686248024693035,-0.00831378594787225,0.007027875772691177,0.006477487031954761,0.0037468970123400954,0.0037115688264963633,0.005355591348189578,0.005866433108743579,0.00396751577174885,-0.00831249744717203,0.006864295273327223,0.02041125736910228,0.0036240195110179975,0.0035311458508328866,0.0045123340739402626,-0.0020479682274333016,0.002507291322961323,-0.0018544099153480608,-0.001801191253567895,-0.12132921400779392,0.9700307315764789,0.003681152508303256,-0.005738399758226422,0.9669096836184443,0.004756857131802731,0.9452039159665447,-0.0009252580926435043,-0.0009252580926435043,1.0
